# MALHEUR (0.5.4) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009-2012 Konrad Rieck (konrad@mlsec.org)
# University of Goettingen, Berlin Institute of Technology
# ---
# Prototypes for reference_mist.tar.gz
# Number of prototypes: 332
# Compression of prototypes: 10.6 %
# Precision of prototypes: 94.7 %
# ---
# <report> <prototype> <distance>
refset/021a6572134f0a3ca91dc22d6f54f605fe2753ee.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.323571
refset/022f1e26af965141de3297be6efb8c015b61fb16.LOOPER refset/022f1e26af965141de3297be6efb8c015b61fb16.LOOPER 0
refset/02327e2a1f09f5da235cb09257a0650c95226058.LDPINCH refset/02327e2a1f09f5da235cb09257a0650c95226058.LDPINCH 0
refset/0232d6357535e80295159e9b57bf1155c0d21fd9.LOOPER refset/0232d6357535e80295159e9b57bf1155c0d21fd9.LOOPER 0
refset/0247cf4214dd68e60c1e6f26a98aa7e024529e3f.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.223869
refset/025c677ad0598ba57bddea2f1c30d202c4ff7da0.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.368251
refset/025d7eacbef57ae6c9514fb1204f260ecf366f47.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.488568
refset/027c02f019c3e5052030ed01e568f97e519568a8.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/027fb5b97ff4643adac09ac8a5c27951af93efb3.SALITY refset/73ccca1b7c5c6da2622b0a18bd5dd818eaa86b15.SALITY 0.336573
refset/0300dc446901724ed384b0e9c4d4f639ab9575cd.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/030642eb57b6a16d77bb6bc94cec64511285dbac.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.138746
refset/03083f63d2913fa72edce652c387078361b5434a.FLYSTUDIO refset/03083f63d2913fa72edce652c387078361b5434a.FLYSTUDIO 0
refset/030b5bb63998f386b8a4dfc412c29e76fea2d74e.LDPINCH refset/02327e2a1f09f5da235cb09257a0650c95226058.LDPINCH 0
refset/030dfd810e75bd18fad1e18bdac53ac1af530f7b.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/031a6047eca5db8a8b29b867f28e89322924672f.POISON refset/722e32cabc4814136b09a5d78e9628b366eafbed.POISON 0.628621
refset/0321f06adefa1bc94b6af853531c590147a73a26.VIKING_DLL refset/460267fbea2bd7810e7466c7c8bb4cdb593e20b3.VIKING_DLL 0.0564565
refset/032abd84b2ddaa8877ed861a44ee2f2281cfd8a8.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.138915
refset/03304734c1b10f8a00a5ae8b1362e73561566582.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.483681
refset/034a448085e3261e2c3e463d347fc737ee4471d8.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.457869
refset/035fcd5d9592e50862ca7f87fe12f11fe641f659.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.294173
refset/0397987e543e3c6bf026eae8bf90f988579b1b55.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/03d279b0fc5d815e833cb528aff776ef206b3ffe.ZHELATIN refset/03d279b0fc5d815e833cb528aff776ef206b3ffe.ZHELATIN 0.000422589
refset/0424e9bdad2f1179bd1c9fa34a0932e5c606b876.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.489763
refset/043569ff0fb7c1d3df70730c4e53503b00027540.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.333016
refset/043fafcca31d76c0f7c0c618f2f439a42b9c1dc8.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.300863
refset/0440b9236d63261dede4ecfb4f315d40b8c14ce2.LOOPER refset/0440b9236d63261dede4ecfb4f315d40b8c14ce2.LOOPER 0
refset/0443b1ff0c05134de9d01f358e2958f248e3fa4a.LOOPER refset/4bd8d713a9c71b45aa2bb76437232a823dca5fdd.LOOPER 0.648284
refset/045eef1278020e512d8a7902493e7efb450bd0fb.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/04737690618301523bca0e4e1ac9af2351ce8865.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.495663
refset/04875c1c051c9d6beaaeef232f5f6d9f9dfd2b87.SALITY refset/87b50849df0b9e6d4a0f2573925b94836550f0b1.SALITY 0.410496
refset/04955c05cb09de711a62050d1de7a664c19ba985.SALITY refset/c4bd721e688ad33ec5899c0b446ce76cbe89505e.SALITY 0.40283
refset/04cbc5c31f3273841a4c104af8071fea7adbf32e.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/04e2fe48099550b17ffbbb229f436cabfbf9a735.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/04ec518445465dfcacd1ebda58eaca2fa76ddbe1.ZHELATIN refset/04ec518445465dfcacd1ebda58eaca2fa76ddbe1.ZHELATIN 9.74056e-05
refset/04f70e32647e9157251e6b8c14d240a3c915a9e8.SWIZZOR refset/078dc557bb1c8fbfb88dec6802b8c47537c2dc05.SWIZZOR 0.299138
refset/050581fe19cef699a51423d707c1bd642b102b48.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.479998
refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.000294301
refset/0522ea5b7f15333fd34dad2bb048bee570c1e40b.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.507888
refset/054d75715d4a6f2ba8c2ffa9812643a0c889354b.ZHELATIN refset/054d75715d4a6f2ba8c2ffa9812643a0c889354b.ZHELATIN 0
refset/054e07d19d83d4050abd4b3bc530a9baec7617ae.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.25763
refset/055b15c839aab1c28e306a46c81277ae03c6eb5c.SALITY refset/73ccca1b7c5c6da2622b0a18bd5dd818eaa86b15.SALITY 0.40455
refset/059fdb4d8b0b15f609d6efa5f3e30d314614791b.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.48901
refset/05d476bd08042cec6d649101613f669fde529cbc.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.360888
refset/05d8b150b8ce51cf851eb185b1026ee1ac75c6b9.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.463212
refset/05d9339f0ce975f7b9df7fc798f55082360615e3.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.491749
refset/05dcf86651b8fa302a702887a41df8567340c0c7.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.338105
refset/05df37841cf259dd384d2064afb4109ed6e92edf.SWIZZOR refset/078dc557bb1c8fbfb88dec6802b8c47537c2dc05.SWIZZOR 0.297363
refset/05e3d4e631a6d9c37531e1c761aafe623516923c.CASINO refset/de41187750d4dd0df678ec8a74dee8a83502b6f6.CASINO 0.577306
refset/05eaa375e30334a1f1c17531da770de75c5aa775.LOOPER refset/01ff92165a17beab32384bc92275f3b32013c99a.LOOPER 0.635275
refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0
refset/060e402f222e56fef0c35781645450a24a59f920.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.499551
refset/061479633757bab5229aa43ecb2485a3153c6b36.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/0617f36d83cf45beca715ec2b1c4a43ec9340e6f.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.482709
refset/067a7728aec8b17e05bed4ccc3676d87f8c2fb13.LOOPER refset/067a7728aec8b17e05bed4ccc3676d87f8c2fb13.LOOPER 4.31584e-05
refset/067eb5caa28943a86d32241b79b07ea10acf4923.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.365555
refset/068961c5d3942c37733ea7faeb17ef9596c4a136.LOOPER refset/068961c5d3942c37733ea7faeb17ef9596c4a136.LOOPER 0.000345267
refset/068b55216cbdda35c237c42a802826df80b09c9c.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.566389
refset/06a176eb779d55c866a3cdeb5acd7a6dd7f18123.WOIKOINER refset/a98177333fd90d7708107322bc4ed99f33cc9d62.WOIKOINER 0.343513
refset/06a99930d59377f75e74ffdaf10c82de7c3c3819.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.481462
refset/06aba204bec15efcc8d4b22a6f3a7d16dcc131fe.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/06be4efc4adda1299f8679528d3701820cb57936.BANCOS refset/0e2ab5a0306a5d68a01ba5e693d6f16110f25497.BANCOS 0.299466
refset/0720befbacd39abc9e7258fc300c18756a22ddb0.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/072a28c1f1b2a08fba897a63fc1b43dca0ae223c.VIKING_DLL refset/460267fbea2bd7810e7466c7c8bb4cdb593e20b3.VIKING_DLL 0.0564565
refset/074517f92a578cb9d96145f6919e8734a779da84.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.149899
refset/0775838151e0011daa0d1741e418f32d0396fd36.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.342844
refset/078dc557bb1c8fbfb88dec6802b8c47537c2dc05.SWIZZOR refset/078dc557bb1c8fbfb88dec6802b8c47537c2dc05.SWIZZOR 0
refset/07accb3b536fc1d7caa3e43aa308ff670bd67782.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.429892
refset/07b46fbb490f77a302ba21bde104f6d7f5e3a35d.LOOPER refset/07b46fbb490f77a302ba21bde104f6d7f5e3a35d.LOOPER 0.000251654
refset/07c7b2262f6cf6c540a19f1de1f9c02cb27472fa.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.446428
refset/07d34d0bd10769bbbb082f38891f47ce6e08340d.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.332588
refset/07e037df5df6b41956c6bb716819c804af42543f.SALITY refset/73ccca1b7c5c6da2622b0a18bd5dd818eaa86b15.SALITY 0.301153
refset/07fc2ba5c4b27f517887093d502644d695536cf7.VAPSUP refset/07fc2ba5c4b27f517887093d502644d695536cf7.VAPSUP 0
refset/081d545cbd1648db7c337dac6b51e64ce375a433.LOOPER refset/081d545cbd1648db7c337dac6b51e64ce375a433.LOOPER 8.63167e-05
refset/08235019f3b8d500665d0a44f92fc2030bdf73c7.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.495663
refset/082a508f76a6f6cc2a7ca3722fb03866da6bb697.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/084f7c7cbb914171cfb9cd0ba0756e41857def46.LOOPER refset/084f7c7cbb914171cfb9cd0ba0756e41857def46.LOOPER 0.000411705
refset/084fc7587823e27f12c49566ad86c291bec1c79f.VIKING_DZ refset/f3ccafe324b03230ef98ab39d0570c27bf4ece0a.VIKING_DZ 0.123068
refset/0866b5db66565fbdee3f659771edd024a6a52382.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.501766
refset/086d616cca0540cda6d82d5fb593f31f70eebd8f.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.130745
refset/087a63d08110c6f9aa92353af10fc35611817787.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.342844
refset/087e5a8536135880d36e81e2c8d599557d6fe350.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.346462
refset/088076281af2de6373d3a17ced585aae463b83bd.LOOPER refset/088076281af2de6373d3a17ced585aae463b83bd.LOOPER 0
refset/0889754d094385ed1fbaef54da58f46a101644c5.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.307585
refset/08af6528340613b4991c82b1c2f51eacf737185b.SALITY refset/66422bb4808240fc4c0969c6ada0cd58cf9cf433.SALITY 0.461832
refset/08d734090fb3d911591ccb0a201a51e12381a5d5.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/08dbdd94746552f20ed40d60fec2b12671527aa3.LOOPER refset/08dbdd94746552f20ed40d60fec2b12671527aa3.LOOPER 0.000411705
refset/08e8bb9ba72faf8b9c3810003d51f20223d62ee3.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.248867
refset/0910e96c127e1ac55cd0a198a300d3080a459093.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.514008
refset/0924b2aa53d42ab673d98cdaa20e2483d5142ba7.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.342844
refset/095139894fa8ef07ca16762ad4286706d4dae8ff.LDPINCH refset/c9cd66d003dbf237d295c02903adf7a6f2b768cc.VIRUT 0.45739
refset/0966cb5160ff652125f189705dd0d6d825a07ed7.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.146177
refset/09700abbf82fbf0177b6bdd0bfb4d446980d117f.BANCOS refset/0e2ab5a0306a5d68a01ba5e693d6f16110f25497.BANCOS 0.351083
refset/0987ffd1a3573d77ece16d781b195e5d7c0b4529.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.52761
refset/09d7bca7c6b0876872864403cb97174e26ce324f.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.489112
refset/09e25795f99eaea717b6f17719b6b3021bbd89f1.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.130443
refset/09ea3341b12b18f44a594be4286192cd975c8652.VIKING_DZ refset/6bc6dc01ce05d3fe5b3061777839e809b624e4ee.VIKING_DZ 0.176096
refset/0a2f1e7d4d3db0a2e7babe47c0fc1230a42ffdf9.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.300863
refset/0a55c0c00f005ff80f20f2c10132fddf6afc397f.ROTATOR refset/0a55c0c00f005ff80f20f2c10132fddf6afc397f.ROTATOR 0
refset/0a751108dad732513a7b45e76884d0ddaf101216.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/0a7fdf130f6dcd185d162f11a4bd28dd6c290c7f.DORFDO refset/7c2bc7b2aefc0ca0709bcf763c7e4c4a2fb5cb35.ZHELATIN 0.532069
refset/0a8999624b4ef35194fa92d04b2fea53bfee0ed0.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.463212
refset/0a8daccc4bdabbc9c8420ceb251fee75ce566fcd.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.481186
refset/0aa6661457c3ee3cd5f54700572958f25d444246.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/0aac632280a184c5a3575e37801fa5f0191b3707.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.280483
refset/0ab4177a7f5677d02ddfdadde8bb0c888cf61333.SALITY refset/c4bd721e688ad33ec5899c0b446ce76cbe89505e.SALITY 0.501882
refset/0ad33ca38d8f17d76b4ca925275b9cd56a14b80b.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.382365
refset/0adaf141a2f39b9365ef9758f7e8da08d6183245.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.514443
refset/0b159fbd60eedb4aee9015555d3d51a56cfc4721.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.138675
refset/0b6b6241340da995f9716295d852c71aa5c83c9d.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.130745
refset/0b7b32415df593b488d20311c1f96496142e61ff.POISON refset/0b7b32415df593b488d20311c1f96496142e61ff.POISON 0
refset/0b7dffd01e7a74f7aa80dc43f1798972f63625d6.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/0b8aef4d2de04dea51228e406270662035904866.LOOPER refset/0b8aef4d2de04dea51228e406270662035904866.LOOPER 0.000345267
refset/0b8b3afe694ca35c4f14a02ef157d9e56964addc.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.516283
refset/0bc062693a29179899535be2ee6d4a10028db0b9.VIRUT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.552648
refset/0bc877ec0422157bdf25bfcb502cb5599dc06c19.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.000294301
refset/0bcc6e8ac6c546bb39f7d37571f426071c520105.LOOPER refset/c24e62f5b3fd3090ee3284b627f7ad67041b0916.LOOPER 0.62382
refset/0be249c7a4b903dacc02cd01fcf7ed7e81c1b76c.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/0be85346745d370b5dd0e5ad19d24c4accc95602.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/0bf280788d5c35c9f83aeb3369b991ef5fd38357.SALITY refset/73ccca1b7c5c6da2622b0a18bd5dd818eaa86b15.SALITY 0.311237
refset/0c199c30f65bf6cee449adc6c599ad3e988914c8.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/0c285a698283c42ad268ba48a91ae62752daedfd.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.43666
refset/0c322aef075441a892457c22a084599d755ea94f.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.223869
refset/0c491252881d01e442d3ce6e10fa9cb6f4083904.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.0763609
refset/0c4ba44a434109a9da8a4258d33de175b0415b05.VIRUT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.537225
refset/0c66a77da6619d461812502ed67f923aafc1b1e2.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.492407
refset/0c6f8bcbbdeeac395e61270f739389ec7a7a30c1.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.503615
refset/0c83d633623e3266de309478379dc18826be6e53.VAPSUP refset/0c83d633623e3266de309478379dc18826be6e53.VAPSUP 0.000368113
refset/0c8a0ee3aaaed6fcc7a4c149769ae5474d52a7b5.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.342844
refset/0c90c7e4421c5e8fe665c931693046126026f1ec.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.380688
refset/0cca5e35c39182b692d8c654d7632a15c1f5352b.WOIKOINER refset/a98177333fd90d7708107322bc4ed99f33cc9d62.WOIKOINER 0.347363
refset/0cd1a52340269368382c6adc761eda20baeb1346.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.142965
refset/0ce009eb5f66a28a3bf7aef50a4be4c3d087790d.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.123717
refset/0ce8bf77663eae83fa2390e32c27cf7a600443a5.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.0763609
refset/0cf7377c5bc5cc50cd49aa49a58ac128fcaa6df4.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.300863
refset/0cfe9977960edbc621da9a15d29cee2be7792b3b.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.331223
refset/0d15ceeb41649aa4d9a209082783fb26b1928bdc.SALITY refset/0d15ceeb41649aa4d9a209082783fb26b1928bdc.SALITY 0
refset/0d2441bca2d6c7a482b20e3024cef05e6a94b89e.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/0d282a6257da453ba1ffa2670e618de4eea59308.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.325093
refset/0d4d40540f2c820f7fa2ae6662b94f0c4423be89.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.0763609
refset/0d5c553b00c9fb3b32feb277d8f2e515084cda44.ZHELATIN refset/0d5c553b00c9fb3b32feb277d8f2e515084cda44.ZHELATIN 0
refset/0d620f01b3e470b425610e986f31fd60790c6df8.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.386587
refset/0d64a77bbf8e4e029e88ce99dcc3f2a3bc1d9eee.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/0d6f0c5941c0911e34d448e0c73770cb02cb464b.WOIKOINER refset/a98177333fd90d7708107322bc4ed99f33cc9d62.WOIKOINER 0.343513
refset/0d7a7f0cf95d35ea6ebc519fbd10c5b6e7e72eef.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.446428
refset/0d887f27fea8629c3d79f29ce06753336869dff5.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.491749
refset/0d90dfe401f096ae4a244e45f994b89ef5a3c3ba.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/0d9549bf33048022500cd1064b82d233bef1a02c.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.335803
refset/0daf88fef0d44f235d30d4db5d701fd6e01ecb93.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.342844
refset/0db6188501ac32fc2528d6068bb5af152d4ec4a0.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.149899
refset/0dc7caf223dd309fd36a286c08eca4e9e7c6a1f0.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.504743
refset/0de5051e1ada7e58a360148d612a446d52bc8978.WOIKOINER refset/a98177333fd90d7708107322bc4ed99f33cc9d62.WOIKOINER 0.343513
refset/0df622b1995e322f89b8fcba1a44f50c2e983de4.FLYSTUDIO refset/0df622b1995e322f89b8fcba1a44f50c2e983de4.FLYSTUDIO 0
refset/0dfd5e3bf669b173d2c6ca63b92c6fae16f5763f.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/0e03bb058ea1e153b142e60a87fa87e1bfacef88.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.138675
